i,suite,case,SIM_TIME,CHUNK,NO_FRUNCATE,FS,SIZE,SKIP_WARMUP,FILE_SIZE,SEED,DISK_SIZE,DISK_GEOMETRY,FILE_COUNT,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,1048576,0,64,42,134217728,1,16384,0,heap,6491980544,0,0,0,0,0,0,83428,81.510982
22,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,1048576,0,64,42,134217728,1,16384,0,usage,6491980544,0,0,0,0,0,0,7884544,81.511015
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4194304,0,64,42,134217728,1,65536,0,write,6496906880,1617,13469682,52608,827904,6896477184,6895435776,3600000938496,55.032504
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4194304,0,64,42,134217728,1,65536,0,stack,6496906880,0,0,0,0,0,0,8704,55.032654
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4194304,0,64,42,134217728,1,65536,0,ctx,6496906880,0,0,0,0,0,0,7168,55.032697
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4194304,0,64,42,134217728,1,65536,0,heap,6496906880,0,0,0,0,0,0,115508,55.032730
24,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,4194304,0,64,42,134217728,1,65536,0,usage,6496906880,0,0,0,0,0,0,11790048,55.032764
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,write,6497725760,843,13469792,52607,431616,6896533504,6895304704,3600000975360,48.789157
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,stack,6497725760,0,0,0,0,0,0,8704,48.789252
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,ctx,6497725760,0,0,0,0,0,0,7168,48.789292
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,heap,6497725760,0,0,0,0,0,0,154004,48.789325
25,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,8388608,0,64,42,134217728,1,131072,0,usage,6497725760,0,0,0,0,0,0,12615888,48.789354
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,write,6497943488,455,13469843,52607,232960,6896559616,6895304704,3600000904192,43.322108
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,stack,6497943488,0,0,0,0,0,0,8704,43.322197
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,ctx,6497943488,0,0,0,0,0,0,7168,43.322237
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,heap,6497943488,0,0,0,0,0,0,230996,43.322272
26,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,16777216,0,64,42,134217728,1,262144,0,usage,6497943488,0,0,0,0,0,0,12833632,43.322305
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,write,6498270336,259,13470119,52574,132608,6896700928,6890979328,3600000945152,38.488816
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,stack,6498270336,0,0,0,0,0,0,8704,38.488897
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,ctx,6498270336,0,0,0,0,0,0,7168,38.488929
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,heap,6498270336,0,0,0,0,0,0,384980,38.488953
27,bench_p26_wt,bench_p26_wt_linear,3600000000000,64,0,5,33554432,0,64,42,134217728,1,524288,0,usage,6498270336,0,0,0,0,0,0,30309696,38.488976
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,write,748157632,11647400,11974857,46777,5963468800,6131126784,6131154944,3600001013248,20.563492
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,stack,748157632,0,0,0,0,0,0,8688,20.563679
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,ctx,748157632,0,0,0,0,0,0,7152,20.563743
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,heap,748157632,0,0,0,0,0,0,78788,20.563812
31,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,8192,0,64,42,134217728,1,128,0,usage,748157632,0,0,0,0,0,0,7645968,20.563863
33,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,write,680877568,11647356,11974863,46777,5963446272,6131129856,6131154944,3600001061376,20.898543
33,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,stack,680877568,0,0,0,0,0,0,8688,20.898740
33,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,ctx,680877568,0,0,0,0,0,0,7152,20.898804
33,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,heap,680877568,0,0,0,0,0,0,78788,20.898859
33,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,32768,0,64,42,134217728,1,512,0,usage,680877568,0,0,0,0,0,0,7670768,20.898912
32,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,write,701302016,11647385,11974859,46777,5963461120,6131127808,6131154944,3600001017856,21.280811
32,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,stack,701302016,0,0,0,0,0,0,8688,21.281001
32,bench_p26_wt,bench_p26_wt_random,3600000000000,64,0,5,16384,0,64,42,134217728,1,256,0,ctx,701302016,0,0,0,0,0,0,7152,21.281061
