i,suite,case,SKIP_WARMUP,SIZE,DISK_SIZE,SIM_SIZE,DISK_GEOMETRY,NO_FRUNCATE,FILE_COUNT,SIM_TIME,FS,FILE_SIZE,SEED,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,heap,5959391744,0,0,0,0,0,0,1552,89.586893
18,bench_p26_wt,bench_p26_wt_linear,0,65536,134217728,0,1,0,1024,3600000000000,2,64,42,64,usage,5959391744,0,0,0,0,0,0,393216,89.586938
19,bench_p26_wt,bench_p26_wt_linear,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,write,6111595008,11946940,11936711,46628,6112567092,6111596032,6111625216,3600000338652,90.457562
19,bench_p26_wt,bench_p26_wt_linear,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,stack,6111595008,0,0,0,0,0,0,1856,90.457658
19,bench_p26_wt,bench_p26_wt_linear,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,ctx,6111595008,0,0,0,0,0,0,400,90.457708
19,bench_p26_wt,bench_p26_wt_linear,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,heap,6111595008,0,0,0,0,0,0,1552,90.457754
19,bench_p26_wt,bench_p26_wt_linear,0,131072,134217728,0,1,0,2048,3600000000000,2,64,42,64,usage,6111595008,0,0,0,0,0,0,393216,90.457797
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,90.575778
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,stack,6098520064,0,0,0,0,0,0,1856,90.575861
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,ctx,6098520064,0,0,0,0,0,0,400,90.575911
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,heap,6098520064,0,0,0,0,0,0,1552,90.575956
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,134217728,0,1,0,32768,3600000000000,2,64,42,64,usage,6098520064,0,0,0,0,0,0,393216,90.575999
20,bench_p26_wt,bench_p26_wt_linear,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,write,6022259712,11823454,11785201,68920,6035548028,6034022912,9033482240,3600000468020,93.290515
20,bench_p26_wt,bench_p26_wt_linear,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,stack,6022259712,0,0,0,0,0,0,1856,93.290611
20,bench_p26_wt,bench_p26_wt_linear,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,ctx,6022259712,0,0,0,0,0,0,400,93.298987
20,bench_p26_wt,bench_p26_wt_linear,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,heap,6022259712,0,0,0,0,0,0,1552,93.299048
20,bench_p26_wt,bench_p26_wt_linear,0,262144,134217728,0,1,0,4096,3600000000000,2,64,42,64,usage,6022259712,0,0,0,0,0,0,393216,93.299092
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,write,6106635840,11989802,11927754,47317,6108223692,6107010048,6201933824,3600000725796,50.100517
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,stack,6106635840,0,0,0,0,0,0,1856,50.100605
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,ctx,6106635840,0,0,0,0,0,0,400,50.100646
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,heap,6106635840,0,0,0,0,0,0,1552,50.100679
25,bench_p26_wt,bench_p26_wt_linear,0,8388608,134217728,0,1,0,131072,3600000000000,2,64,42,64,usage,6106635840,0,0,0,0,0,0,8388608,50.100709
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,write,6103988672,11981866,11923310,48025,6105935504,6104734720,6294732800,3600000608432,55.326404
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,stack,6103988672,0,0,0,0,0,0,1856,55.326508
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,ctx,6103988672,0,0,0,0,0,0,400,55.326548
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,heap,6103988672,0,0,0,0,0,0,1552,55.326580
24,bench_p26_wt,bench_p26_wt_linear,0,4194304,134217728,0,1,0,65536,3600000000000,2,64,42,64,usage,6103988672,0,0,0,0,0,0,1572864,55.326609
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,134217728,0,1,0,262144,3600000000000,2,64,42,64,write,6107561984,11998348,11929563,46962,6109194968,6107936256,6155403264,3600000835592,47.903500
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,134217728,0,1,0,262144,3600000000000,2,64,42,64,stack,6107561984,0,0,0,0,0,0,1856,47.903576
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,134217728,0,1,0,262144,3600000000000,2,64,42,64,ctx,6107561984,0,0,0,0,0,0,400,47.903610
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,134217728,0,1,0,262144,3600000000000,2,64,42,64,heap,6107561984,0,0,0,0,0,0,1552,47.903638
26,bench_p26_wt,bench_p26_wt_linear,0,16777216,134217728,0,1,0,262144,3600000000000,2,64,42,64,usage,6107561984,0,0,0,0,0,0,1048576,47.903664
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,134217728,0,1,0,524288,3600000000000,2,64,42,64,write,6107676160,12010393,11929786,46780,6109400564,6108050432,6131548160,3600000820508,44.483573
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,134217728,0,1,0,524288,3600000000000,2,64,42,64,stack,6107676160,0,0,0,0,0,0,1856,44.483656
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,134217728,0,1,0,524288,3600000000000,2,64,42,64,ctx,6107676160,0,0,0,0,0,0,400,44.483690
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,134217728,0,1,0,524288,3600000000000,2,64,42,64,heap,6107676160,0,0,0,0,0,0,1552,44.483719
27,bench_p26_wt,bench_p26_wt_linear,0,33554432,134217728,0,1,0,524288,3600000000000,2,64,42,64,usage,6107676160,0,0,0,0,0,0,1048576,44.483747
28,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,write,77349184,8562106,3622353,1207451,3964803686,1854644736,158263017472,3600003730322,108.050250
28,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,stack,77349184,0,0,0,0,0,0,1840,108.050386
28,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,ctx,77349184,0,0,0,0,0,0,384,108.050443
28,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,heap,77349184,0,0,0,0,0,0,1552,108.050505
28,bench_p26_wt,bench_p26_wt_random,0,1024,134217728,0,1,0,16,3600000000000,2,64,42,64,usage,77349184,0,0,0,0,0,0,393216,108.050551
29,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,write,63257920,11203876,4939587,987922,5267552523,2529068544,129488912384,3600001392081,164.968444
29,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,stack,63257920,0,0,0,0,0,0,1840,164.968580
29,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,ctx,63257920,0,0,0,0,0,0,384,164.968638
29,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,heap,63257920,0,0,0,0,0,0,1552,164.968686
29,bench_p26_wt,bench_p26_wt_random,0,2048,134217728,0,1,0,32,3600000000000,2,64,42,64,usage,63257920,0,0,0,0,0,0,393216,164.968732
30,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,write,46493760,14047049,6536404,726287,6847340824,3346638848,95195889664,3600003992776,238.646786
30,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,stack,46493760,0,0,0,0,0,0,1840,238.646915
30,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,ctx,46493760,0,0,0,0,0,0,384,238.646971
30,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,heap,46493760,0,0,0,0,0,0,1552,238.647022
30,bench_p26_wt,bench_p26_wt_random,0,4096,134217728,0,1,0,64,3600000000000,2,64,42,64,usage,46493760,0,0,0,0,0,0,393216,238.647069
31,bench_p26_wt,bench_p26_wt_random,0,8192,134217728,0,1,0,128,3600000000000,2,64,42,64,write,30390080,16779488,8071337,474799,8365767627,4132524544,62232854528,3600005043729,332.074627
