i,suite,case,FS,DISK_GEOMETRY,FILE_COUNT,CHUNK,FILE_SIZE,SEED,SIZE,NO_FRUNCATE,SIM_SIZE,SIM_TIME,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,write,3178624,70709044844,957760,8618,70709044844,36451207,35299328,3600079377381,59.311835
21,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,stack,3178624,0,0,0,0,0,0,1488,59.311958
21,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,ctx,3178624,0,0,0,0,0,0,352,59.312017
21,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,heap,3178624,0,0,0,0,0,0,1160,59.312063
21,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,33554432,usage,3178624,0,0,0,0,0,0,5342092,59.312105
20,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,write,5224192,59232310511,1538373,13647,59232310511,56533794,55898112,3600009332702,73.401958
20,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,stack,5224192,0,0,0,0,0,0,1616,73.402063
20,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,ctx,5224192,0,0,0,0,0,0,352,73.402110
20,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,heap,5224192,0,0,0,0,0,0,1160,73.402151
20,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,16777216,usage,5224192,0,0,0,0,0,0,3740556,73.402189
24,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,write,396032,85765795840,193685,2065,85765795840,10276662,8458240,3601248106498,100.281161
24,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,stack,396032,0,0,0,0,0,0,1312,100.281273
24,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,ctx,396032,0,0,0,0,0,0,352,100.281322
24,bench_p26_wt,bench_p26_wt_random,4,0,32768,64,64,42,2097152,0,0,3600000000000,0,268435456,heap,396032,0,0,0,0,0,0,1160,100.281363
