i,suite,case,FS,SEED,SKIP_WARMUP,SIM_TIME,FILE_SIZE,NO_SET,DISK_SIZE,CHUNK,DISK_GEOMETRY,SIM_SIZE,SIZE,FILE_COUNT,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
23,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,write,13071872,111808990,2954160,13382,3113440813,1512529920,1754005504,3600135865687,35.880788
23,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,stack,13071872,0,0,0,0,0,0,3200,35.880871
23,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,ctx,13071872,0,0,0,0,0,0,608,35.880908
23,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,heap,13071872,0,0,0,0,0,0,1296,35.880939
23,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,67108864,64,1,0,2097152,32768,0,usage,13071872,0,0,0,0,0,0,5373952,35.880967
27,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,write,13132864,111709214,2963010,13417,3116531056,1517061120,1758593024,3600108616528,43.854617
27,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,stack,13132864,0,0,0,0,0,0,3120,43.854701
27,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,ctx,13132864,0,0,0,0,0,0,608,43.854738
27,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,heap,13132864,0,0,0,0,0,0,1296,43.854768
27,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,1073741824,64,1,0,2097152,32768,0,usage,13132864,0,0,0,0,0,0,4980736,43.854795
28,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,write,13140352,111710467,2963222,13420,3115884511,1517169664,1758986240,3600188055949,51.756125
28,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,stack,13140352,0,0,0,0,0,0,3120,51.756211
28,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,ctx,13140352,0,0,0,0,0,0,608,51.756244
28,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,heap,13140352,0,0,0,0,0,0,1296,51.756270
28,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,2147483648,64,1,0,2097152,32768,0,usage,13140352,0,0,0,0,0,0,5373952,51.756294
29,bench_p26_wt,bench_p26_wt_random,3,42,0,3600000000000,64,0,4294967296,64,1,0,2097152,32768,0,write,13140608,111710540,2963227,13420,3115881047,1517172224,1758986240,3600191082101,67.343138
