i,suite,case,DISK_SIZE,SIZE,DISK_GEOMETRY,SIM_SIZE,FS,SKIP_WARMUP,CHUNK,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,16.124543
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,16.124590
24,bench_p26_wt,bench_p26_wt_random,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,16.124635
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,574426530,1117250,69998,574426530,285977229,286711808,3625269559239,16.812689
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1840,16.812782
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,16.812832
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,16.812876
21,bench_p26_wt,bench_p26_wt_random,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2093056,16.812918
23,bench_p26_wt,bench_p26_wt_random,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,574736628,1117250,69998,574736628,285977229,286711808,3625281963159,21.708183
23,bench_p26_wt,bench_p26_wt_random,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,21.708285
23,bench_p26_wt,bench_p26_wt_random,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,21.708337
23,bench_p26_wt,bench_p26_wt_random,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,21.708381
23,bench_p26_wt,bench_p26_wt_random,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,21.708424
25,bench_p26_wt,bench_p26_wt_random,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,575506848,1117250,69998,575506848,285977229,286711808,3625312771959,23.341075
25,bench_p26_wt,bench_p26_wt_random,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,23.341173
25,bench_p26_wt,bench_p26_wt_random,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,23.341220
25,bench_p26_wt,bench_p26_wt_random,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,23.341263
25,bench_p26_wt,bench_p26_wt_random,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,23.341303
26,bench_p26_wt,bench_p26_wt_random,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,576475100,1117250,69998,576475100,285977229,286711808,3625351502039,24.872845
26,bench_p26_wt,bench_p26_wt_random,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,24.872931
26,bench_p26_wt,bench_p26_wt_random,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,24.872972
26,bench_p26_wt,bench_p26_wt_random,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,24.873006
26,bench_p26_wt,bench_p26_wt_random,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,24.873038
27,bench_p26_wt,bench_p26_wt_random,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,575506830,1117250,69998,575506830,285977229,286711808,3625312771239,28.718755
27,bench_p26_wt,bench_p26_wt_random,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,28.718838
27,bench_p26_wt,bench_p26_wt_random,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,28.718878
27,bench_p26_wt,bench_p26_wt_random,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,28.718909
27,bench_p26_wt,bench_p26_wt_random,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,28.718937
28,bench_p26_wt,bench_p26_wt_random,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,576657712,1117251,69998,576657712,285977229,286711808,3625359206647,36.996119
28,bench_p26_wt,bench_p26_wt_random,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,36.996202
28,bench_p26_wt,bench_p26_wt_random,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,36.996240
28,bench_p26_wt,bench_p26_wt_random,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,36.996281
28,bench_p26_wt,bench_p26_wt_random,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,36.996321
29,bench_p26_wt,bench_p26_wt_random,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,18368,575504532,1117250,69998,575504532,285977229,286711808,3625312679319,46.723494
29,bench_p26_wt,bench_p26_wt_random,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,18368,0,0,0,0,0,0,1984,46.723564
29,bench_p26_wt,bench_p26_wt_random,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,18368,0,0,0,0,0,0,384,46.723593
29,bench_p26_wt,bench_p26_wt_random,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,18368,0,0,0,0,0,0,784,46.723642
29,bench_p26_wt,bench_p26_wt_random,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,18368,0,0,0,0,0,0,2101248,46.723675
32,bench_p26_wt,bench_p26_wt_many,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4026880,84698276856,134785,3511,84698276856,11535926,14381056,3600071790530,580.081684
32,bench_p26_wt,bench_p26_wt_many,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4026880,0,0,0,0,0,0,2288,580.081789
32,bench_p26_wt,bench_p26_wt_many,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4026880,0,0,0,0,0,0,640,580.081839
32,bench_p26_wt,bench_p26_wt_many,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4026880,0,0,0,0,0,0,784,580.081882
32,bench_p26_wt,bench_p26_wt_many,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4026880,0,0,0,0,0,0,13508608,580.081922
35,bench_p26_wt,bench_p26_wt_many,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4020352,84687478574,134610,3521,84687478574,11524312,14422016,3600019602744,580.302987
35,bench_p26_wt,bench_p26_wt_many,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4020352,0,0,0,0,0,0,2288,580.303096
35,bench_p26_wt,bench_p26_wt_many,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4020352,0,0,0,0,0,0,640,580.303147
35,bench_p26_wt,bench_p26_wt_many,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4020352,0,0,0,0,0,0,784,580.303191
35,bench_p26_wt,bench_p26_wt_many,536870912,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4020352,0,0,0,0,0,0,13582336,580.303233
34,bench_p26_wt,bench_p26_wt_many,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4023296,84723061378,134550,3493,84723061378,11501180,14307328,3600158505348,581.356717
34,bench_p26_wt,bench_p26_wt_many,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4023296,0,0,0,0,0,0,2288,581.356827
34,bench_p26_wt,bench_p26_wt_many,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4023296,0,0,0,0,0,0,640,581.356877
34,bench_p26_wt,bench_p26_wt_many,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4023296,0,0,0,0,0,0,784,581.356927
34,bench_p26_wt,bench_p26_wt_many,268435456,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4023296,0,0,0,0,0,0,13475840,581.356976
30,bench_p26_wt,bench_p26_wt_many,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4015360,84737219916,134411,3481,84737219916,11507458,14258176,3600129364486,839.688580
30,bench_p26_wt,bench_p26_wt_many,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4015360,0,0,0,0,0,0,2288,839.688688
30,bench_p26_wt,bench_p26_wt_many,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4015360,0,0,0,0,0,0,640,839.688746
30,bench_p26_wt,bench_p26_wt_many,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4015360,0,0,0,0,0,0,784,839.688786
30,bench_p26_wt,bench_p26_wt_many,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4015360,0,0,0,0,0,0,13271040,839.688826
31,bench_p26_wt,bench_p26_wt_many,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4024512,84698456052,134728,3510,84698456052,11533764,14376960,3600011111340,846.443322
31,bench_p26_wt,bench_p26_wt_many,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4024512,0,0,0,0,0,0,2288,846.443421
31,bench_p26_wt,bench_p26_wt_many,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4024512,0,0,0,0,0,0,640,846.443478
31,bench_p26_wt,bench_p26_wt_many,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4024512,0,0,0,0,0,0,784,846.443517
31,bench_p26_wt,bench_p26_wt_many,33554432,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4024512,0,0,0,0,0,0,13492224,846.443554
33,bench_p26_wt,bench_p26_wt_many,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4026880,84698034504,134788,3512,84698034504,11536912,14385152,3600108314224,847.409719
33,bench_p26_wt,bench_p26_wt_many,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4026880,0,0,0,0,0,0,2288,847.409808
33,bench_p26_wt,bench_p26_wt_many,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4026880,0,0,0,0,0,0,640,847.409851
33,bench_p26_wt,bench_p26_wt_many,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4026880,0,0,0,0,0,0,784,847.409887
33,bench_p26_wt,bench_p26_wt_many,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4026880,0,0,0,0,0,0,13508608,847.409922
36,bench_p26_wt,bench_p26_wt_many,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4015360,84734308688,134411,3481,84734308688,11507458,14258176,3600012915366,853.089408
36,bench_p26_wt,bench_p26_wt_many,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4015360,0,0,0,0,0,0,2288,853.089489
36,bench_p26_wt,bench_p26_wt_many,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4015360,0,0,0,0,0,0,640,853.089525
36,bench_p26_wt,bench_p26_wt_many,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4015360,0,0,0,0,0,0,784,853.089554
36,bench_p26_wt,bench_p26_wt_many,1073741824,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4015360,0,0,0,0,0,0,13279232,853.089581
37,bench_p26_wt,bench_p26_wt_many,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4024448,84698449942,134725,3510,84698449942,11533630,14376960,3600009664010,861.039419
37,bench_p26_wt,bench_p26_wt_many,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4024448,0,0,0,0,0,0,2288,861.039493
37,bench_p26_wt,bench_p26_wt_many,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4024448,0,0,0,0,0,0,640,861.039525
37,bench_p26_wt,bench_p26_wt_many,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4024448,0,0,0,0,0,0,784,861.039551
37,bench_p26_wt,bench_p26_wt_many,2147483648,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4024448,0,0,0,0,0,0,13492224,861.039576
38,bench_p26_wt,bench_p26_wt_many,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4026752,84699584776,134783,3511,84699584776,11535750,14381056,3600123303730,867.702950
38,bench_p26_wt,bench_p26_wt_many,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4026752,0,0,0,0,0,0,2288,867.703024
38,bench_p26_wt,bench_p26_wt_many,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4026752,0,0,0,0,0,0,640,867.703054
38,bench_p26_wt,bench_p26_wt_many,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4026752,0,0,0,0,0,0,784,867.703079
38,bench_p26_wt,bench_p26_wt_many,4294967296,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4026752,0,0,0,0,0,0,13508608,867.703101
39,bench_p26_wt,bench_p26_wt_logging,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4592576,331494330,707706,73350,331494330,153901601,300441600,3600008307587,6.109499
39,bench_p26_wt,bench_p26_wt_logging,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4592576,0,0,0,0,0,0,1904,6.109617
39,bench_p26_wt,bench_p26_wt_logging,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4592576,0,0,0,0,0,0,400,6.109672
39,bench_p26_wt,bench_p26_wt_logging,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4592576,0,0,0,0,0,0,784,6.109718
39,bench_p26_wt,bench_p26_wt_logging,16777216,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4592576,0,0,0,0,0,0,2519040,6.109797
41,bench_p26_wt,bench_p26_wt_logging,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4592704,330990761,707724,73351,330990761,153905261,300445696,3600040435327,9.494178
41,bench_p26_wt,bench_p26_wt_logging,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4592704,0,0,0,0,0,0,2000,9.494294
41,bench_p26_wt,bench_p26_wt_logging,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4592704,0,0,0,0,0,0,400,9.494344
41,bench_p26_wt,bench_p26_wt_logging,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,heap,4592704,0,0,0,0,0,0,784,9.494388
41,bench_p26_wt,bench_p26_wt_logging,67108864,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,usage,4592704,0,0,0,0,0,0,2519040,9.494429
42,bench_p26_wt,bench_p26_wt_logging,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,write,4592704,331044425,707723,73351,331044425,153905229,300445696,3600042181151,9.429168
42,bench_p26_wt,bench_p26_wt_logging,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,stack,4592704,0,0,0,0,0,0,2000,9.429239
42,bench_p26_wt,bench_p26_wt_logging,134217728,2097152,0,0,2,0,64,3600000000000,64,0,32768,42,ctx,4592704,0,0,0,0,0,0,400,9.429288
