i,suite,case,SIM_TIME,SIZE,NO_FRUNCATE,SKIP_WARMUP,DISK_SIZE,SIM_SIZE,SEED,FILE_SIZE,NO_SET,FS,CHUNK,FILE_COUNT,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,ctx,7126848,0,0,0,0,0,0,608,8.955468
21,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,heap,7126848,0,0,0,0,0,0,784,8.955519
21,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,usage,7126848,0,0,0,0,0,0,4702208,8.955567
23,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,write,7686912,854521940,2029099,61112,854521940,218958520,250314752,3600198279624,9.185811
23,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,stack,7686912,0,0,0,0,0,0,3248,9.185910
23,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,ctx,7686912,0,0,0,0,0,0,608,9.185961
23,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,heap,7686912,0,0,0,0,0,0,784,9.186003
23,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,usage,7686912,0,0,0,0,0,0,4726784,9.186058
22,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,write,7472896,874150057,2037470,61016,874150057,218873944,249921536,3600011397872,12.201323
22,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,stack,7472896,0,0,0,0,0,0,3248,12.201422
22,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,ctx,7472896,0,0,0,0,0,0,608,12.201478
22,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,heap,7472896,0,0,0,0,0,0,784,12.201525
22,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,33554432,0,42,64,0,3,64,32768,0,usage,7472896,0,0,0,0,0,0,4636672,12.201575
24,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,write,7800256,843240476,2023461,61169,843240476,219014615,250548224,3600057088597,14.669584
24,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,stack,7800256,0,0,0,0,0,0,3296,14.669680
24,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,ctx,7800256,0,0,0,0,0,0,608,14.669728
24,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,heap,7800256,0,0,0,0,0,0,784,14.669769
24,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,usage,7800256,0,0,0,0,0,0,4820992,14.669807
25,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,write,7805376,841949609,2022056,61183,841949609,219121806,250605568,3600075291890,15.242604
25,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,stack,7805376,0,0,0,0,0,0,3248,15.242699
25,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,ctx,7805376,0,0,0,0,0,0,608,15.242746
25,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,heap,7805376,0,0,0,0,0,0,784,15.242785
25,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,usage,7805376,0,0,0,0,0,0,4706304,15.242824
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,write,7804736,841628808,2021967,61187,841628808,219132983,250621952,3600207055445,16.047921
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,stack,7804736,0,0,0,0,0,0,3248,16.048007
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,ctx,7804736,0,0,0,0,0,0,608,16.048038
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,heap,7804736,0,0,0,0,0,0,784,16.048063
26,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,usage,7804736,0,0,0,0,0,0,4698112,16.048085
27,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,write,7799232,842833985,2018912,61213,842833985,219312405,250728448,3600206245559,24.137952
27,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,stack,7799232,0,0,0,0,0,0,3296,24.138039
27,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,ctx,7799232,0,0,0,0,0,0,608,24.138078
27,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,heap,7799232,0,0,0,0,0,0,784,24.138111
27,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,usage,7799232,0,0,0,0,0,0,4550656,24.138142
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,write,7800384,842415390,2019176,61210,842415390,219330339,250716160,3600160480329,36.706074
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,stack,7800384,0,0,0,0,0,0,3248,36.706151
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,ctx,7800384,0,0,0,0,0,0,608,36.706193
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,heap,7800384,0,0,0,0,0,0,784,36.706220
28,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,usage,7800384,0,0,0,0,0,0,4542464,36.706244
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,write,7807744,841617310,2020047,61201,841617310,219215275,250679296,3600069894497,58.202412
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,stack,7807744,0,0,0,0,0,0,3296,58.202480
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,ctx,7807744,0,0,0,0,0,0,608,58.202511
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,heap,7807744,0,0,0,0,0,0,784,58.202536
29,bench_p26_wt,bench_p26_wt_random,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,usage,7807744,0,0,0,0,0,0,4628480,58.202559
35,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,write,65874880,6323653474,1876385,57603,6323653474,223313002,235941888,3600040844846,55.194096
35,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,stack,65874880,0,0,0,0,0,0,3488,55.194201
35,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,ctx,65874880,0,0,0,0,0,0,848,55.194252
35,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,heap,65874880,0,0,0,0,0,0,784,55.194297
35,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,536870912,0,42,64,0,3,64,32768,0,usage,65874880,0,0,0,0,0,0,31965184,55.194341
34,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,write,65616064,6344312756,1872723,57617,6344312756,223466225,235999232,3600034839811,73.589095
34,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,stack,65616064,0,0,0,0,0,0,3488,73.589193
34,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,ctx,65616064,0,0,0,0,0,0,848,73.589246
34,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,heap,65616064,0,0,0,0,0,0,784,73.589296
34,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,268435456,0,42,64,0,3,64,32768,0,usage,65616064,0,0,0,0,0,0,31752192,73.589337
33,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,write,65273856,6305946422,1881890,57569,6305946422,223237770,235802624,3600003883694,77.629169
33,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,stack,65273856,0,0,0,0,0,0,3488,77.629270
33,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,ctx,65273856,0,0,0,0,0,0,848,77.629317
33,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,heap,65273856,0,0,0,0,0,0,784,77.629362
33,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,134217728,0,42,64,0,3,64,32768,0,usage,65273856,0,0,0,0,0,0,31920128,77.629404
32,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,write,65596032,6328157448,1879321,57572,6328157448,223285085,235814912,3600000290855,77.910492
32,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,stack,65596032,0,0,0,0,0,0,3488,77.910587
32,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,ctx,65596032,0,0,0,0,0,0,848,77.910638
32,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,heap,65596032,0,0,0,0,0,0,784,77.910682
32,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,67108864,0,42,64,0,3,64,32768,0,usage,65596032,0,0,0,0,0,0,31895552,77.910725
36,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,write,65616064,6344313876,1872727,57617,6344313876,223466432,235999232,3600036489056,90.016290
36,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,stack,65616064,0,0,0,0,0,0,3488,90.016386
36,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,ctx,65616064,0,0,0,0,0,0,848,90.016434
36,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,heap,65616064,0,0,0,0,0,0,784,90.016476
36,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,1073741824,0,42,64,0,3,64,32768,0,usage,65616064,0,0,0,0,0,0,31752192,90.016514
37,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,write,65832256,6354292239,1875644,57582,6354292239,223310982,235855872,3600024890442,102.110106
37,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,stack,65832256,0,0,0,0,0,0,3488,102.110194
37,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,ctx,65832256,0,0,0,0,0,0,848,102.110235
37,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,heap,65832256,0,0,0,0,0,0,784,102.110270
37,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,2147483648,0,42,64,0,3,64,32768,0,usage,65832256,0,0,0,0,0,0,31834112,102.110300
38,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,write,65779200,6335935757,1874939,57604,6335935757,223401631,235945984,3600000233685,123.522175
38,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,stack,65779200,0,0,0,0,0,0,3488,123.522256
38,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,ctx,65779200,0,0,0,0,0,0,848,123.522294
38,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,heap,65779200,0,0,0,0,0,0,784,123.522324
38,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,4294967296,0,42,64,0,3,64,32768,0,usage,65779200,0,0,0,0,0,0,31887360,123.522352
30,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,write,2315648,24799874611,1886272,41940,24799874611,159662808,171786240,3637022453248,156.591680
30,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,stack,2315648,0,0,0,0,0,0,3488,156.591754
30,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,ctx,2315648,0,0,0,0,0,0,848,156.591788
30,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,heap,2315648,0,0,0,0,0,0,784,156.591816
30,bench_p26_wt,bench_p26_wt_many,3600000000000,2097152,0,0,16777216,0,42,64,0,3,64,32768,0,usage,2315648,0,0,0,0,0,0,15024128,156.591844
