i,suite,case,NO_FRUNCATE,FILE_SIZE,SEED,DISK_GEOMETRY,FS,DISK_SIZE,FILE_COUNT,SIM_SIZE,SIM_TIME,SIZE,SKIP_WARMUP,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,write,243074176,59904,1120658,69917,59904,286888448,286380032,3600030952448,12.483464
20,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,stack,243074176,0,0,0,0,0,0,8704,12.483537
20,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,ctx,243074176,0,0,0,0,0,0,7168,12.483568
20,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,heap,243074176,0,0,0,0,0,0,18110516,12.483593
20,bench_p26_wt,bench_p26_wt_linear,0,64,42,0,5,4294967296,32768,0,3600000000000,2097152,0,64,usage,243074176,0,0,0,0,0,0,548314240,12.483615
21,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,write,27645952,248207872,1117738,69723,248207872,286140928,285585408,3600044555264,1.033664
21,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,stack,27645952,0,0,0,0,0,0,8688,1.033907
21,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,ctx,27645952,0,0,0,0,0,0,7152,1.033973
21,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,heap,27645952,0,0,0,0,0,0,93236,1.034027
21,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,16777216,32768,0,3600000000000,2097152,0,64,usage,27645952,0,0,0,0,0,0,4342000,1.034068
22,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,write,27762176,248208384,1117742,69723,248208384,286141952,285585408,3600046195712,1.137708
22,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,stack,27762176,0,0,0,0,0,0,8688,1.137953
22,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,ctx,27762176,0,0,0,0,0,0,7152,1.138067
22,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,heap,27762176,0,0,0,0,0,0,163892,1.138175
22,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,33554432,32768,0,3600000000000,2097152,0,64,usage,27762176,0,0,0,0,0,0,6474816,1.138234
23,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,write,27763648,248209408,1117746,69723,248209408,286142976,285585408,3600047856640,1.627913
23,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,stack,27763648,0,0,0,0,0,0,8688,1.628142
23,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,ctx,27763648,0,0,0,0,0,0,7152,1.628248
23,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,heap,27763648,0,0,0,0,0,0,305204,1.628319
23,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,67108864,32768,0,3600000000000,2097152,0,64,usage,27763648,0,0,0,0,0,0,10744416,1.628379
24,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,write,27764032,248210432,1117750,69723,248210432,286144000,285585408,3600049517568,2.142167
24,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,stack,27764032,0,0,0,0,0,0,8688,2.142401
24,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,ctx,27764032,0,0,0,0,0,0,7152,2.142480
24,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,heap,27764032,0,0,0,0,0,0,587828,2.142537
24,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,134217728,32768,0,3600000000000,2097152,0,64,usage,27764032,0,0,0,0,0,0,19280144,2.142585
25,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,write,27763968,248208384,1117742,69723,248208384,286141952,285585408,3600046195712,2.305528
25,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,stack,27763968,0,0,0,0,0,0,8688,2.305627
25,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,ctx,27763968,0,0,0,0,0,0,7152,2.305660
25,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,heap,27763968,0,0,0,0,0,0,1153076,2.305688
25,bench_p26_wt,bench_p26_wt_random,0,64,42,0,5,268435456,32768,0,3600000000000,2097152,0,64,usage,27763968,0,0,0,0,0,0,36350608,2.305713
