i,suite,case,SEED,SIM_SIZE,FILE_SIZE,FS,CHUNK,DISK_SIZE,SIM_TIME,SKIP_WARMUP,FILE_COUNT,SIZE,DISK_GEOMETRY,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
27,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,394.631284
27,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,394.631319
27,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,1073741824,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2490368,394.631350
24,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,write,318016,21571114,10701957,43010,10959339403,5479401984,5637406720,3600977053009,397.848175
24,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1840,397.848265
24,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,397.848307
24,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,397.848344
24,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,134217728,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2490368,397.848380
21,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,write,318016,21574276,10701957,43010,10959586207,5479401984,5637406720,3601059451597,407.961265
21,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1840,407.961348
21,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,407.961387
21,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,407.961418
21,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2490368,407.961444
26,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,write,318016,21571105,10701957,43010,10959335355,5479401984,5637406720,3600976754913,413.879972
26,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1840,413.880053
26,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,413.880098
26,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,413.880126
26,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,536870912,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2490368,413.880152
28,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,write,318016,21574167,10701957,43010,10959696559,5479401984,5637406720,3601058869501,416.636401
28,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,stack,318016,0,0,0,0,0,0,1984,416.636470
28,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,ctx,318016,0,0,0,0,0,0,384,416.636501
28,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,heap,318016,0,0,0,0,0,0,1552,416.636525
28,bench_p26_wt,bench_p26_wt_random,42,0,64,2,64,2147483648,3600000000000,0,32768,2097152,1,0,usage,318016,0,0,0,0,0,0,2752512,416.636548
30,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,28.581030
30,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,28.581134
30,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,28.581211
30,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,heap,638976,0,0,0,0,0,0,1552,28.581261
30,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,16777216,3600000000000,0,32768,2097152,1,0,usage,638976,0,0,0,0,0,0,8912896,28.581303
32,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,write,638976,139906889,22822,133,8661037096,11684864,17432576,3609097123576,30.172459
32,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,stack,638976,0,0,0,0,0,0,2288,30.172559
32,bench_p26_wt,bench_p26_wt_many,42,0,64,2,64,67108864,3600000000000,0,32768,2097152,1,0,ctx,638976,0,0,0,0,0,0,640,30.172608
