i,suite,case,FILE_COUNT,FILE_SIZE,SIM_SIZE,SKIP_WARMUP,SIZE,DISK_GEOMETRY,CHUNK,DISK_SIZE,NO_FRUNCATE,SEED,SIM_TIME,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,32768,64,0,0,2097152,1,64,4294967296,0,42,3600000000000,5,usage,6495282560,0,0,0,0,0,0,222564752,70.753990
21,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,write,659747712,11643681,11975364,46775,5961564672,6131386368,6130892800,3600001113600,15.143008
21,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,stack,659747712,0,0,0,0,0,0,8688,15.143164
21,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,ctx,659747712,0,0,0,0,0,0,7152,15.143222
21,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,heap,659747712,0,0,0,0,0,0,60196,15.143271
21,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,16777216,0,42,3600000000000,5,usage,659747712,0,0,0,0,0,0,3728448,15.143319
22,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,write,661705216,11643680,11975363,46775,5961564160,6131385856,6130892800,3600000819712,15.570034
22,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,stack,661705216,0,0,0,0,0,0,8688,15.570215
22,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,ctx,661705216,0,0,0,0,0,0,7152,15.570297
22,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,heap,661705216,0,0,0,0,0,0,65348,15.570349
22,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,33554432,0,42,3600000000000,5,usage,661705216,0,0,0,0,0,0,4589520,15.570415
24,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,write,661735104,11643680,11975363,46775,5961564160,6131385856,6130892800,3600000819712,20.315481
24,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,stack,661735104,0,0,0,0,0,0,8688,20.315620
24,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,ctx,661735104,0,0,0,0,0,0,7152,20.315670
24,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,heap,661735104,0,0,0,0,0,0,96260,20.315712
24,bench_p26_wt,bench_p26_wt_random,32768,64,0,0,2097152,1,64,134217728,0,42,3600000000000,5,usage,661735104,0,0,0,0,0,0,9749008,20.315762
